,Becker,PARIS,75002,01.81.30.33.94,adelaide.becker@server.fr,comptable
Adelaide,Benoit,MARSEILLE,13012,04.16.23.32.39,adelaide.benoit@server.fr,
Adelaide,Bertrand,,,02.78.55.93.77,adelaide.bertrand@server.fr,
Adelaide,Bonnin,,,02.62.45.97.67,adelaide.bonnin@server.fr,
,Faure,TOULON,83100,04.99.54.08.97,adelaide.faure@server.fr,chauffeur
Adelaide,Launay,PARIS,75012,01.04.72.47.67,adelaide.launay@server.fr,
Adelaide,Laurent,MONTPELLIER,34080,04.39.69.09.34,adelaide.laurent@server.fr,journaliste
Adelaide,Lebon,PARIS,75003,01.05.58.12.86,adelaide.lebon@server.fr,ouvrier
Adelaide,Lombard,,,04.56.11.63.24,adelaide.lombard@server.fr,
,Martel Le Lemaire,GRENOBLE,38100,04.99.65.56.28,,comptable
Adelaide,Masson,PARIS,75007,01.26.00.62.86,,boulanger
Adelaide,Pottier-Leleu,MARSEILLE,13015,04.70.89.89.12,adelaide.pottier-leleu@server.fr,
,Voisin-Bigot,PARIS,75019,01.89.18.15.27,adelaide.voisin-bigot@server.fr,
Adelaide-Gabrielle,Hernandez,LYON,69007,04.60.76.16.31,adelaide-gabrielle.hernandez@server.fr,technicien
Adele,Barthelemy,,,02.15.23.25.75,adele.barthelemy@server.fr,barman
Adele,Boucher,LYON,69003,04.82.49.17.30,adele.boucher@server.fr,
Adele,Bourgeois,TOULOUSE,31000,05.87.03.61.74,adele.bourgeois@server.fr,agriculteur
,Colas de Chauvin,NANTES,44000,02.16.92.15.46,adele.colas-de-chauvin@server.fr,chef d'entreprise
Adele,Delaunay Le Lemaire,,,05.39.30.70.29,adele.delaunay-le-lemaire@server.fr,
Adele,Delmas Le Poulain,,,02.62.73.80.93,adele.delmas-le-poulain@server.fr,
,Dupont,NANTES,44000,02.16.51.03.76,adele.dupont@server.fr,
,Dupuy,LYON,69008,04.50.03.11.01,adele.dupuy@server.fr,
,Gautier-Pierre,LYON,69008,04.52.47.87.70,,medecin
Adele,Joseph,MARSEILLE,13008,04.61.69.44.28,adele.joseph@server.fr,
Adele,Masse,MONTPELLIER,34090,04.50.48.06.82,adele.masse@server.fr,
Adele,Maurice,NICE,6200,04.23.67.78.09,adele.maurice@server.fr,technicien
Adele,Morel,PARIS,75005,01.61.90.23.50,adele.morel@server.fr,
Adele,Pascal,,,05.40.47.39.99,adele.pascal@server.fr,
,Perrin,BORDEAUX,33100,05.39.90.87.93,adele.perrin@server.fr,
Adele,Pons-Humbert,,,04.83.55.05.06,adele.pons-humbert@server.fr,
